portugais,français
que,quoi
não,Non
o,le
de,de
a,le
é,et
você,toi
e,et
eu,je
um,un
para,à
está,ce
uma,un
se,si
com,avec
por,mettre
ele,il
isso,que
em,dans
do,de
me,moi
mas,mais
como,comme
bem,bien
da,de la
no,nœud
os,toi
ela,elle
na,dans
sim,Oui
aqui,ici
mais,plus
tem,il a
meu,mon
seu,ton
muito,très
foi,il était
as,au
vai,aller
sua,ton
estou,Je suis
vamos,allons-y
tudo,tous
minha,mon
só,seulement
então,alors
pode,il peut
agora,maintenant
vou,J'y vais
ser,être
quando,quand
fazer,faire
sei,Je sais
eles,ils
nós,nous
tenho,J'ai
te,toi
estava,il était
certo,droite
quer,il veut
sabe,il sait
já,déjà
era,était
nos,nous
quem,OMS
ou,ou
ao,au
nada,rien
disse,il a dit
há,il y a
lá,là
onde,où
quero,Je veux
bom,bien
ter,avoir
sou,suis
são,ils sont
dizer,dire
posso,puis-je
acho,Je pense
sobre,sur
mim,moi
porque,pourquoi
mesmo,même
coisa,chose
todos,tous
estão,ils sont
algo,quelque chose
até,jusqu'à
tempo,temps
assim,comme ça
nunca,jamais
vocês,toi
esse,que
casa,maison
quê,quoi
essa,que
à,le
ver,voir
também,aussi
pra,pour
ainda,encore
tão,donc
dos,de la
cara,affronter
favor,s'il te plaît
ir,aller
melhor,mieux
noite,nuit
sem,sans
temos,nous avons
obrigado,merci
dia,jour
talvez,peut-être
pai,père
estamos,nous sommes
esta,ce
deus,Dieu
alguém,quelqu'un
mãe,mère
vida,vie
senhor,Monsieur
este,ce
isto,ce
sempre,toujours
anos,années
vez,temps
verdade,vrai
seus,ton
dele,de lui
ficar,rester
parece,il semble
oh,Oh
claro,Bien sûr
depois,après
tinha,il avait
falar,parler
coisas,des choses
antes,avant
pessoas,personnes
pouco,petit
pelo,pour le
preciso,nécessaire
apenas,juste
homem,homme
deve,il doit
nem,ni
boa,bien
dois,deux
fazendo,faire
todo,tous
lugar,lieu
faz,il le fait
acha,il pense
fez,il l'a fait
aí,là
fora,dehors
estar,être
qual,lequel
disso,à partir de ça
trabalho,travail
precisa,il en faut
das,de
hoje,aujourd'hui
ninguém,personne
novo,nouveau
queria,je voulais
ei,Hé
comigo,avec moi
mundo,monde
saber,savoir
alguma,quelques
dar,donner
podemos,nous pouvons
grande,grand
sinto,Je me sens
seja,c'est
nossa,notre
poderia,ça pourrait
dinheiro,argent
suas,ton
será,ce sera
nome,nom
quanto,comme
qualquer,n'importe lequel
